image_name,category,floral,graphic,striped,embroidered,solid,long_sleeve,short_sleeve,sleeveless,maxi_length,mini_length,crew_neckline,v_neckline,denim,chiffon,cotton,knit,tight,loose,category_encoded
data/img_filtered/train/Sweet_Crochet_Blouse/img_00000070_crop.jpg,Blouse,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
data/img_filtered/train/Classic_Pencil_Skirt/img_00000010_crop.jpg,Skirt,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,12
data/img_filtered/train/Strapless_Diamond_Print_Dress/img_00000038_crop.jpg,Dress,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3
data/img_filtered/train/Mid-Rise_-_Acid_Wash_Skinny_Jeans/img_00000010_crop.jpg,Jeans,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,6
data/img_filtered/train/Zippered_Single-Button_Blazer/img_00000078_crop.jpg,Blazer,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
data/img_filtered/train/Abstract_Chevron_Draped_Dress/img_00000013_crop.jpg,Dress,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3
data/img_filtered/train/Boho_Babe_Crochet_Top/img_00000047_crop.jpg,Top,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,15
data/img_filtered/train/Colorblock-Paneled_Tee/img_00000006_crop.jpg,Tee,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,14
data/img_filtered/train/Stripe_Trapeze_Dress/img_00000010_crop.jpg,Dress,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,3
data/img_filtered/train/Striped_Geo_Print_Dress/img_00000018_crop.jpg,Dress,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,3
data/img_filtered/train/Lace-Paneled_Knit_Dress/img_00000001_crop.jpg,Dress,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,3
data/img_filtered/train/Grid_Print_Jumpsuit/img_00000048_crop.jpg,Jumpsuit,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,8
data/img_filtered/train/Leopard_Print_Joggers/img_00000003_crop.jpg,Joggers,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
data/img_filtered/train/Ditsy_Floral_Pleated_Dress/img_00000016_crop.jpg,Dress,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3
data/img_filtered/train/Drape-Front_Marled_Cardigan/img_00000009_crop.jpg,Cardigan,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
data/img_filtered/train/Tie-Dye_Midi_Dress/img_00000034_crop.jpg,Dress,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3
data/img_filtered/train/Strapless_Romper/img_00000007_crop.jpg,Romper,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,10
data/img_filtered/train/Cutout_Bodycon_Dress/img_00000075_crop.jpg,Dress,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,3
data/img_filtered/train/Drawstring_Cargo_Joggers/img_00000019_crop.jpg,Joggers,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7
data/img_filtered/train/Chambray_Popover_Blouse/img_00000006_crop.jpg,Blouse,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
data/img_filtered/train/Mesh_Overlay_Sheath_Dress/img_00000050_crop.jpg,Dress,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3
data/img_filtered/train/Embroidered_Bead_Keyhole_Blouse/img_00000009_crop.jpg,Blouse,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
data/img_filtered/train/Hooded_Side-Slit_Maxi_Dress/img_00000021_crop.jpg,Dress,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,3
data/img_filtered/train/Varsity_Joggers/img_00000005_crop.jpg,Joggers,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7
data/img_filtered/train/Peter_Pan_Collar_Dress/img_00000032_crop.jpg,Dress,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,3
data/img_filtered/train/Flutter_Sleeve_Surplice_Dress/img_00000022_crop.jpg,Dress,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3
data/img_filtered/train/Hooded_Asymmetrical_Longline_Jacket/img_00000018_crop.jpg,Jacket,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,5
data/img_filtered/train/Quilted_Faux_Leather_Trim_Skirt/img_00000012_crop.jpg,Skirt,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12
